id,lang,edit_history_tweet_ids,text,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
1970488552828866764,en,['1970488552828866764'],"Why Women Should Rethink Strength Training | Gabrielle Lyon, D.O. (@drgabriellelyon), Mike Boyle (@BodybyBoyle), and Jeff Cavaliere, M.S.P.T., C.S.C.S. (@trainer2thepros)

This clip is from episode # 365 of The Drive which was released on 9/22/25.

In the full episode, we cover: https://t.co/yyWGD2NpFG",2025-09-23T14:00:55.000Z,1970488552828866764,27,17,282,7,124,72352,PeterAttiaMD
1970126173943234867,en,['1970126173943234867'],"In episode #365, I host a strength and conditioning roundtable with Gabrielle Lyon, D.O. (@drgabriellelyon), Mike Boyle (@BodybyBoyle), and Jeff Cavaliere, M.S.P.T., C.S.C.S. (@trainer2thepros)

https://t.co/o3Rt8xicN0",2025-09-22T14:00:57.000Z,1970126173943234867,9,10,212,3,81,40160,PeterAttiaMD
1969763648747757676,en,['1969763648747757676'],"A recent study in mice offers hope for greater efficacy concerning a treatment that has already captured researchers’ attention. Full article linked below.

https://t.co/WZGWU9LnfX",2025-09-21T14:00:24.000Z,1969763648747757676,10,13,139,0,42,29267,PeterAttiaMD
1968676673944985648,en,['1968676673944985648'],"5 core principles behind every successful diet | Peter Attia, M.D.

This trailer is from “Ask Me Anything” episode # 75 (Ep. # 364) of The Drive which was released on 9/15/25.

In the full episode, I cover:

-Why diet debates are so polarizing and confusing—and a clear framework https://t.co/ONPRyEBrPT",2025-09-18T14:01:09.000Z,1968676673944985648,16,16,241,0,144,41775,PeterAttiaMD
1967951841154457964,en,['1967951841154457964'],"How to measure progress on any diet | Peter Attia, M.D.

This trailer is from “Ask Me Anything” episode # 75 (Ep. # 364) of The Drive which was released on 9/15/25.

In the full episode, I cover:

-Why diet debates are so polarizing and confusing—and a clear framework to cut https://t.co/dmbNCSYDH1",2025-09-16T14:00:56.000Z,1967951841154457964,6,8,140,3,80,32954,PeterAttiaMD
1967589374289134015,en,['1967589374289134015'],"In today's ""Ask Me Anything"" episode of The Drive, (Ep. # 364, AMA # 75),I explain how to evaluate any diet by using five non-negotiable criteria: energy balance, metabolic health, protein, micronutrients, and adherence. 

https://t.co/22dDXizmlB",2025-09-15T14:00:37.000Z,1967589374289134015,1,4,53,0,21,19474,PeterAttiaMD
1967226991901339830,en,['1967226991901339830'],"A recent study shows that moderate-intensity exercise can offset the drop in vitamin D that many experience during winter months. Full article linked below.

https://t.co/MASgy2n8BL",2025-09-14T14:00:38.000Z,1967226991901339830,18,5,176,1,33,29763,PeterAttiaMD
1965415141123477634,en,['1965415141123477634'],"The future of glioblastoma treatment | Edward Chang, M.D.

This clip is from episode # 363 of The Drive which was released on 9/8/25.

In the full episode, we cover:

-How neurosurgery has shifted from risky open surgeries to minimally invasive approaches that save lives and https://t.co/FwMszUZgGZ",2025-09-09T14:00:59.000Z,1965415141123477634,19,12,199,3,65,36986,PeterAttiaMD
1965052647976632816,en,['1965052647976632816'],"In episode #363, I sit down with Edward Chang, M.D., neurosurgeon and leader in brain-computer interface technology, to explore the evolution of modern neurosurgery, the breakthroughs in brain mapping and awake surgery, and more.

https://t.co/nd7z1ycy8Y",2025-09-08T14:00:34.000Z,1965052647976632816,5,1,44,0,12,19716,PeterAttiaMD
1964690195342569608,en,['1964690195342569608'],"A study in mice demonstrated impressive lifespan extension with extreme calorie restriction, but will results translate outside a research setting? Full article linked below.

https://t.co/r7DO8BgIqn",2025-09-07T14:00:19.000Z,1964690195342569608,20,23,197,6,44,37689,PeterAttiaMD
